Accession No,Primary Maker name only,Name Title,Brief Description,Media Materials,Measurement Reading Metric Imp Y display only,Department,Other Id,Collection,Current Location,Current Location Reason,Current Location Date,Current Owner,Acquisition Method,Acquisition Reason,Acquisition Date,Credit Line,Item Count
VUW.1983.7,Emily Schuster,Vanessa Bell,"Geometric Abstraction - yellow and blue triangles predominate.  Central element is inset.  Box frame. NB. Chip out of left hand side of frame (from previous hanging system), frame loose, possible silverfish",,,VUW Art,308511,Victoria University of Wellington Art Collection,Art Building/Room 44,Temporary Storage,14-Nov-11,,,,,Victoria University of Wellington Art Collection,
VUW.1962.6,Tania Patterson,With a Smile,Landscape - pathway through tall trees,,,VUW Art,308518,,Music Building/Room 27,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington Art Collection,
VUW.1962.7,William Brassington,The Magic Circle,"Abstracted cityscape - browns and black in a grid structure, central vanishing perspective",,,VUW Art,308519,Victoria University of Wellington Art Collection,Art Building/Room 34,Temporary Exhibit,28-Jun-11,,,,,Victoria University of Wellington Art Collection,
VUW.1966.3,Veranoa Hetet,Seated Nude,"Landscape - large gateway on left, farm in middle ground, hills in background",,,VUW Art,308520,,Music Building/Room 5,Temporary Storage,19-Nov-13,,,,,Victoria University of Wellington Art Collection Gift of Sir John Ilott,
VUW.1970.4,Peter Stichbury,The Boyhood of Raleigh,"Figurative - woman leaping over sleeping woman in bikini, set in stylised landscape",,,VUW Art,308520,Victoria University of Wellington Art Collection,Science Building/Room 15,Temporary Storage,19-Nov-13,,,,,Victoria University of Wellington Art Collection,
VUW.1981.7,Peter Stichbury,A Scene from 'The Beggar's Opera' VI,Geometric Abstraction - diagonal lattice of several coloured strips,,,VUW Art,308522,Victoria University of Wellington Art Collection,Science Building/Room 46,Permanent Exhibit,30-Nov-09,,,,,Victoria University of Wellington Art Collection,
VUW.1994.4,Madeleine Child,Action Pants: Genital Panic,,,,VUW Art,308523,,Philosophy Building/Room 10,Temporary Storage,20-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1962.8,James Greig,Untitled,"Landscape - small house in centre of flat land, hills in distance",,,VUW Art,308524,,Music Building/Room 8,Temporary Storage,13-Jan-11,,,,,Victoria University of Wellington Art Collection Gift of Mrs W.J. Hutchinson,
VUW.1982.1,Charles Heaphy,'I have been certified as mildly insane!',Interior and landscape - view from top of stairs looking through window to suburb beyond,,,VUW Art,308525,,Science Building/Room 10,Temporary Exhibit,29-Sep-10,,,,,Victoria University of Wellington Art Collection,
VUW.1981.8,Freda Brierley,Six Geometric Figures (+ Two) (Wall Drawings),Abstracted landscape - hill outlined in brown,,,VUW Art,308527,Victoria University of Wellington Art Collection,Philosophy Building/Room 25,Temporary Exhibit,28-Jun-11,,,,,Victoria University of Wellington Art Collection,
VUW.1977.2,Alfred John Tattersall,Flatford Mill ('Scene on a Navigable River'),Abstract - triptych - gridded with mathematical table and formulas,,,VUW Art,308528,,Art Building/Room 23,Temporary Storage,20-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1986.8,Rhona Haszard,Five Angels for the Millennium,"Abstract - two amorphous hemispheres - left orange, right blue",,,VUW Art,308529,,Science Building/Room 25,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington Art Collection,
VUW.1998.1,Rhona Haszard,Clarinet and Bottle of Rum on a Mantelpiece,Abstract - pale,,,VUW Art,308616,Victoria University of Wellington Art Collection,Art Building/Room 34,Temporary Storage,12-Sep-11,,,,,Victoria University of Wellington Art Collection Gift of Mrs M. Robson,
VUW.1982.2,Michael Parekowhai,Ecce Ancilla Domini! (The Annunciation),Landscape,,,VUW Art,308531,,Music Building/Room 45,Temporary Storage,2-Dec-13,,,,,Victoria University of Wellington Art Collection,
VUW.1965.3,Tim Molloy,Grey,"Abstracted landscape - dark greens, yellows",,,VUW Art,308532,Victoria University of Wellington Art Collection,Philosophy Building/Room 17,Usual Location,9-Nov-00,,,,,Victoria University of Wellington Art Collection,
VUW.1962.9,Shona McFarlane,Swingeing London 67 (f),"Landscape - plants in foreground, hills in background",,,VUW Art,308534,Victoria University of Wellington Art Collection,Music Building/Room 32,Temporary Exhibit,16-Mar-12,,,,,Victoria University of Wellington Art Collection,
VUW.1988.5,Wi Taepa,Self-Portrait,Abstract - waka shapes float across woven surface,,,VUW Art,308535,,Music Building/Room 45,Permanent Exhibit,22-Mar-02,,,,,Victoria University of Wellington Art Collection,
VUW.1961.4,Tanya Ashken,Trip Hammer,"Landscape - golden spiky plants in foreground, hill in background",,,VUW Art,308536,Victoria University of Wellington Art Collection,Art Building/Room 36,Usual Location,3-Feb-05,,,,,Victoria University of Wellington Art Collection,
VUW.1982.3,Sofia Minson,Ghost,Figurative - crowd of men,,,VUW Art,308537,,Philosophy Building/Room 4,Usual Location,3-Feb-05,,,,,Victoria University of Wellington Art Collection,
VUW.1971.7,Philip Robert Presants,Line Describing a Cone,"Landscape - cherry tree on right, house and hills in background",,,VUW Art,308539,,Music Building/Room 32,Usual Location,9-Nov-00,,,,,Victoria University of Wellington Art Collection Gift of Mrs Gladys Corkill,
VUW.1970.5,Justin Summerton,Claude Monet Painting by the Edge of a Wood,Geometric Abstraction - four panels of red grids and triangles made up a square diamond,,,VUW Art,308541,,Philosophy Building/Room 9,Temporary Exhibit,5-Jul-11,,,,,Victoria University of Wellington Art Collection,
VUW.1994.5,Gottfried Lindauer,Patti Smith,"Abstract - amorphous circular shape, pinks and blues",,,VUW Art,308542,Victoria University of Wellington Art Collection,Art Building/Room 2,Temporary Exhibit,6-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1980.6,Michel Tuffery,Christ in the House of His Parents ('The Carpenter's Shop'),"Landscape - small farmhouse in foreground, large ochre hills in background",,,VUW Art,308543,,Art Building/Room 15,Temporary Exhibit,13-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1977.3,Judy McIntosh Wilson,The Mud Bath,"Abstract - grid - cream, blue, yellow, orange",,,VUW Art,308545,Victoria University of Wellington Art Collection,Science Building/Room 8,Temporary Storage,10-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1970.6,Judy McIntosh Wilson,Suicide,Abstract - pale blue ground,,,VUW Art,308546,,Art Building/Room 22,Usual Location,9-Jun-05,,,,,Victoria University of Wellington Art Collection,
VUW.1969.2,Pauline Bern,Chair,Abstract - stylised koru lines,,,VUW Art,308551,Victoria University of Wellington Art Collection,Art Building/Room 42,Permanent Exhibit,30-Nov-09,,,,,Victoria University of Wellington Art Collection,
VUW.1982.4,Juliet Peter,L'Enigme d'Isidore Ducasse,Figurative - diptych - many Pacific Island figures playing and watching sport,,,VUW Art,308552,,Science Building/Room 35,Temporary Exhibit,15-Nov-12,,,,,Victoria University of Wellington Art Collection,
VUW.1967.2,Rangi Kipa,The Pond,Figurative - women bathing,,,VUW Art,308554,Victoria University of Wellington Art Collection,Philosophy Building/Room 4,Permanent Exhibit,14-Sep-11,,,,,Victoria University of Wellington Art Collection,
VUW.1978.3,George Baloghy,"Moonlight, a Study at Millbank","Figurative - portrait of woman in foreground, hills in background NB. marks noted on right hand side of frame July 2010",,,VUW Art,308562,,Science Building/Room 32,Temporary Exhibit,20-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1988.7,John Parker,Summertime: Number 9A,Figurative - image of full length coat embellished with found objects.  Text 'MEDEA'S COAT' on left.,,,VUW Art,308563,,Art Building/Room 14,Temporary Exhibit,18-Aug-15,,,,,Victoria University of Wellington Art Collection Gift of anonymous donor,
VUW.1961.5,Merata Mita,Inversions,Landscape - expressionist style,,,VUW Art,308566,,Art Building/Room 47,Temporary Exhibit,3-Aug-15,,,,,Victoria University of Wellington Art Collection,
VUW.1964.3,Merata Mita,Roy Lichtenstein,Figurative - portrait of man/boy seated,,,VUW Art,308567,Victoria University of Wellington Art Collection,Philosophy Building/Room 48,Temporary Exhibit,18-Aug-15,,Dealer/Purchase,,1964,Victoria University of Wellington Art Collection,
VUW.1989.7,Lily Laita,Hyena Stomp,Abstract - collaged photographs,,,VUW Art,308568,Victoria University of Wellington Art Collection,Philosophy Building/Room 43,Temporary Exhibit,13-Nov-14,,,,,Victoria University of Wellington Art Collection,
VUW.1999.3,Laurence Aberhart,Red on Maroon,Landscape - ink drawing of a garden,,,VUW Art,308611,Victoria University of Wellington Art Collection,Music Building/Room 26,Permanent Exhibit,14-Sep-11,,,,,Victoria University of Wellington Art Collection Donated by Centre for Continuing Education in 1999,
VUW.1999.4,Suzanne Tamaki,Equivalent VIII,Abstract - dark greens and blues,,,VUW Art,308606,Victoria University of Wellington Art Collection,Science Building/Room 0,Temporary Exhibit,19-Jan-06,,,,,Victoria University of Wellington Art Collection Donated by Centre for Continuing Education in 1999,
VUW.1991.3,Lisa Black,Just what is it that makes today's homes so different?,Construction - in three parts - black painted steel rods in circular structures,,,VUW Art,308609,,Philosophy Building/Room 4,Usual Location,9-Nov-00,,,,,Victoria University of Wellington Art Collection,
VUW.1994.6,Karl Leonard,The Last Day in the Old Home,Sculpture - Queen Victoria with birds in galvanised sheet iron on base,,,VUW Art,308618,,Science Building/Room 2,Usual Location,22-May-03,,,,,Victoria University of Wellington Art Collection Gifted to the Hunter Building by the Friends of Hunter,
VUW.1994.7,Tim Molloy,Mrs Carl Meyer and her Children,Abstract,,,VUW Art,308410,Victoria University of Wellington Art Collection,Art Building/Room 10,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington Art Collection,
VUW.1961.6,John Pule,Shelterers in the Tube,"Landscape - lowlying landscape, blues predominate",,,VUW Art,308405,Hall Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 16,Temporary Exhibit,16-Mar-12,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.7,Vivian Lynn,Water Painting,"Landscape - dark trees in foreground, lowering skies",,,VUW Art,308484,Hall Collection/Victoria University of Wellington/WELLINGTON,Science Building/Room 33,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.8,Vivian Lynn,Merry-Go-Round,Landscape - sand dunes and sky,,,VUW Art,308483,Hall Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 13,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.9,Vivian Lynn,Untitled (Stairs),"Landscape - large trees in foreground, blue sky",,,VUW Art,308485,Hall Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 23,Temporary Storage,29-Oct-12,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.10,Vivian Lynn,The Derby Day,Seascape - wharf in rough sea,,,VUW Art,308486,Hall Collection/Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 8,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.11,Levi Borgstrom,Death on a Pale Horse (?),"Landscape - daffodils in foreground, pond in background",,,VUW Art,308513,Hall Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 7,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.12,Levi Borgstrom,The Toy Shop,Landscape - dark pool with trees in background,,,VUW Art,308514,Hall Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 8,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.13,Levi Borgstrom,Celebes,Cityscape - buildings line European canal,,,VUW Art,308512,Hall Collection/Victoria University of Wellington/WELLINGTON,Science Building/Room 42,Temporary Storage,14-Jan-14,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.15,Levi Borgstrom,Bahrain I,Landscape - trees and ground laden with snow,,,VUW Art,308516,Hall Collection/Victoria University of Wellington/WELLINGTON,Science Building/Room 0,Temporary Storage,18-Aug-11,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.16,Tania Patterson,The Deluge,Still life - yellow and red predominate,,,VUW Art,308517,Hall Collection/Victoria University of Wellington/WELLINGTON,Science Building/Room 33,Permanent Exhibit,14-Sep-11,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.17,Shona McFarlane,Fashion-plate,Landscape - two figures sitting in grassy sanddunes,,,VUW Art,308533,Hall Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 27,Temporary Exhibit,16-Mar-12,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.18,Charles Fell,Skulls,Figurative - black and white etching of a family picnic - woman holding umbrella for shade,,,VUW Art,308617,Hall Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 1,Temporary Exhibit,5-Jul-11,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.19,Charles Fell,Flowers,"Figurative - girl playing guitar - her back facing viewer, but front reflected in mirror",,,VUW Art,308538,Hall Collection/Victoria University of Wellington/WELLINGTON,Science Building/Room 45,Temporary Exhibit,29-Sep-10,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.2000.1,Michael Parekowhai,Study for a Portrait of Van Gogh IV,Scientific,,,VUW Art,308607,Victoria University of Wellington Art Collection,Music Building/Room 41,Temporary Exhibit,24-Feb-12,,,,,Victoria University of Wellington Art Collection Gifted by anonymous donor,
VUW.1961.20,Philip Robert Presants,Harmony in Grey and Green: Miss Cicely Alexander,"Exterior scene - side of house, flower pots, chairs, overhead branches",,,VUW Art,308540,Hall Collection/Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 3,Permanent Exhibit,14-Sep-11,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1986.9,Horatio Gordon Robley,Untitled,Portrait - Frederick Page at the piano,,,School of Music/VUW Art,308621,Victoria University of Wellington Art Collection,Philosophy Building/Room 10,Returned Loan,16-May-12,,Bequest,,1986,Victoria University of Wellington Art Collection,
VUW.1998.2,Levi Borgstrom,The Four and Twenty Elders Casting their Crowns before the Divine Throne,Landscape - view of Wellington from bare Kelburn hills,,,VUW Art,308614,Victoria University of Wellington Art Collection,Science Building/Room 40,Temporary Storage,11-Oct-10,,,,,Victoria University of Wellington Art Collection Bequeathed by Margaret Shirley Sutch in 1998,
VUW.1961.21,Tao Wells,Spooning Couple,Landscape - charcoal sketch of large tree in flat landscape,,,VUW Art,308547,Hall Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 7,Temporary Storage,16-Nov-15,,Gift,,1961,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.22,Rangi Kipa,Patti Smith,Landscape - autumn trees overhanging river,,,VUW Art,308533,Hall Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 47,Temporary Storage,16-Jul-10,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.23,Zena Abbott,Ellen Terry as Lady Macbeth,Landscape - autumnal trees in front of stormy sky,,,VUW Art,308556,Hall Collection/Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 2,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.24,Zena Abbott,"Symphony in White, No. 2: The Little White Girl",Landscape - river winding through rocky gorge. Boom Rock is on the Makara Coast where Nugent frequently went to sketch.,,,VUW Art,308557,Hall Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 48,Permanent Exhibit,2-Dec-11,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.25,Zena Abbott,The Lament for Icarus,"Seascape - man sitting on beach reading, waves rolling in",,,VUW Art,308558,Hall Collection/Victoria University of Wellington/WELLINGTON,Art Building/Room 23,Permanent Exhibit,2-Dec-11,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.26,Zena Abbott,An Iron Forge,Landscape - coastal landscape with early evening sky predominating,,,VUW Art,308559,Hall Collection/Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 45,Temporary Storage,28-Oct-15,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.27,Zena Abbott,Cadeau,"Landscape - low-lying landscape with thin strip of harbour, dominated by sky",,,VUW Art,308561,Hall Collection/Victoria University of Wellington/WELLINGTON,Philosophy Building/Room 35,Temporary Storage,28-Oct-15,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1961.28,Zena Abbott,"The Hotel, Room 28","Landscape - low-lying landscape, dark mountains in distance, large sky",,,VUW Art,308560,Hall Collection/Victoria University of Wellington/WELLINGTON,Music Building/Room 13,Permanent Exhibit,2-Dec-11,,,,,Victoria University of Wellington Art Collection Presented by Mr and Mrs T.D.H. Hall,
VUW.1983.8,Avis Higgs,"Camera Recording its Own Condition (7 Apertures, 10 Speeds, 2 Mirrors)","Landscape - small group of trees in middle distance, large green hills behind",,,Staff Club/VUW Art,308395,Victoria University of Wellington Art Collection,Philosophy Building/Room 36,Permanent Exhibit,14-Sep-11,,Auction/Purchase,,3-Nov-83,Victoria University of Wellington Staff Club Collection,
VUW.1986.10,Andrea Daly,"Pegwell Bay, Kent - a Recollection of October 5th 1858","Figurative - text surrounds image: ""This is a garden of life and death in which to walk: But also a garden of death: Hopefully a garden of living"".",,,Staff Club/VUW Art,308400,,Art Building/Room 29,Permanent Exhibit,10-Nov-09,,,,,"Victoria University of Wellington Staff Club Collection Purchased in memory of David Michael Wylie, 1986",
VUW.1986.11,Johnny Penisula,The Lady of Shalott,"Landscape - a predominantly orange landscape of trees, river, and hills",,,Staff Club/VUW Art,308401,,Art Building/Room 36,Temporary Exhibit,16-Dec-10,,,,,"Victoria University of Wellington Staff Club Collection Purchased in memory of Mervyn John Pope, 1986",
VUW.1971.8,Frances Hodgkins,Sappho and Erinna in a Garden at Mytilene,"Cityscape - crowded city of buildings painted as boxes of white and blue, with road running through middle",,,Staff Club/VUW Art,308413,,Philosophy Building/Room 48,Temporary Exhibit,19-Apr-11,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1950.1,Maureen Lander,Head of a Woman,"Figurative - person seated at piano, person standing to right",,,Staff Club/VUW Art,308414,,Art Building/Room 4,Temporary Storage,20-Jul-10,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1973.2,William Brassington,Nude Woman with Necklace,"Abstract landscape - predominantly brown with two blue river strips.  ""Makara"" written on right hand river strip.",,,Staff Club/VUW Art,308418,Victoria University of Wellington Art Collection,Art Building/Room 19,Usual Location,3-Feb-05,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1958.1,Tao Wells,Burdened Children,Still Life - slightly cubist still life with black background,,,Staff Club/VUW Art,308445,,Philosophy Building/Room 24,Short Term Loan,18-Mar-15,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1996.2,Christine Boswijk,Forms Without Life,Abstract,,,VUW Art,308608,Victoria University of Wellington Art Collection,Art Building/Room 19,Permanent Exhibit,9-Sep-11,,Donation,,1996,"Victoria University of Wellington Art Collection Gift of the Chartwell Trust, 1996",
VUW.1956.2,Tanya Ashken,"Ena and Betty, Daughters of Asher and Mrs Wertheimer","Landscape - predominantly green, cottage near top",,"734 x 998mm (2' 4 7/8"" x 3' 3 5/16""), 995 x 1257 x 83mm",Staff Club/VUW Art,308446,Victoria University of Wellington/WELLINGTON,Music Building/Room 10,Usual Location,23-Oct-07,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1957.1,Merilyn Wiseman,"Portrait of Mary Hill, Lady Killigrew",Landscape - road cut through steep hill,,,Staff Club/VUW Art,308447,Victoria University of Wellington/WELLINGTON,Music Building/Room 32,Temporary Exhibit,15-Nov-12,,Dealer/Purchase,,1957,Victoria University of Wellington Staff Club Collection,
VUW.1994.8,Alfred Sharpe,Tate Thames Dig,Sculpture - wood and lead sheeting in three pieces,,,Staff Club/VUW Art,308451,Victoria University of Wellington Art Collection,Art Building/Room 25,Temporary Exhibit,6-Apr-11,,,,,Victoria University of Wellington Staff Club Collection Commissioned for 50th Jubilee of Staff Club,
VUW.1967.3,Peter Alger,Self-Portrait,Abstract cityscape - dark blocks of colour,,,Staff Club/VUW Art,308454,,Philosophy Building/Room 20,Temporary Storage,15-Nov-12,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1970.7,Ben Webb,An Athlete Wrestling with a Python,"Landscape - red building in middle ground, hills in background",,"745 x 644mm (2' 5 5/16"" x 2' 1 3/8""), 832 x 732 x 34mm",Staff Club/VUW Art,308464,Victoria University of Wellington Art Collection,Philosophy Building/Room 48,Temporary Exhibit,5-Jul-11,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1967.4,James Greig,The Bride Stripped Bare by her Bachelors Even (The Green Box),Cubist - forest,,"875 x 767mm (2' 10 7/16"" x 2' 6 3/16""), 1042 x 936 x 55mm",Staff Club/VUW Art,308467,,Music Building/Room 7,Usual Location,22-May-03,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1957.2,Maureen Lander,Felt Suit,Landscape - flat ochre landscape under brooding sky,,,Staff Club/VUW Art,308473,,Philosophy Building/Room 33,Usual Location,9-Jun-05,,Private/Purchase,,1959,Victoria University of Wellington Staff Club Collection,
VUW.1971.9,Horatio Gordon Robley,Wedge of Chastity,Figurative - nude seated by table against bushes,,,Staff Club/VUW Art,308492,,Art Building/Room 40,Temporary Exhibit,19-Apr-11,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1961.29,Thomas Andrew,London from Greenwich Park,"Still life - semi cubist/abstract, blue/white/red/gold",,,Staff Club/VUW Art,308498,Victoria University of Wellington Art Collection,Philosophy Building/Room 12,Temporary Storage,22-Jul-10,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1999.5,William Brassington,Bed,Abstract - dark colours including red and black,,,VUW Art,308615,Victoria University of Wellington Art Collection,Philosophy Building/Room 38,Temporary Storage,16-Nov-15,,,,,"Victoria University of Wellington Art Collection Gift of Julian Royds, 1999",
VUW.1963.3,Paul Beadle,The Swing (after Fragonard),Abstract landscape - broad swathes of colour - pale blue and black predominate,,,Staff Club/VUW Art,308526,,Science Building/Room 29,Usual Location,26-Nov-03,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1972.3,Peter Stichbury,Explosion,"Figurative - Biblical image of Christ overturning a table, people defending themselves, money scattering",,,Staff Club/VUW Art,308530,Victoria University of Wellington Art Collection,Art Building/Room 29,Temporary Exhibit,25-Mar-14,,Private/Purchase,,1972,Victoria University of Wellington Staff Club Collection,
VUW.1967.5,Michel Tuffery,Bear,Landscape - cubist buildings set against landscape,,,Staff Club/VUW Art,308544,,Science Building/Room 31,Short Term Loan,18-Aug-15,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1967.6,Tao Wells,Electric Chair,"Figurative - two women painting, seated by easels",,,Staff Club/VUW Art,308548,,Music Building/Room 19,Temporary Storage,31-Oct-11,,Dealer/Purchase,,1957,Victoria University of Wellington Staff Club Collection,
VUW.1967.7,Rangi Kipa,"Norham Castle, Sunrise",Landscape - a river zigzags through dark rock river banks,,,Staff Club/VUW Art,308555,,Art Building/Room 39,Temporary Storage,5-Nov-15,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1971.10,Merata Mita,"De Panne, Belgium, August 7 1992",Town and landscape,,,Staff Club/VUW Art,308565,,Philosophy Building/Room 26,Temporary Storage,11-Nov-15,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1973.4,Garth Chester,Farm at Watendlath,Ceramic - 40 glazed torquoise tiles set in mortar,,,Staff Club/VUW Art,308575,,Art Building/Room 45,Temporary Storage,18-Aug-15,,,,,Victoria University of Wellington Staff Club Collection,
VUW.1968.2,Christine Hellyar,Abstract Speed - The Car has Passed,Portrait - Sir Samuel Romilly was a lawyer and legal reformer,,,VUW Art,308582,Portrait Collection,Science Building/Room 29,Temporary Storage,20-Jul-10,,,,,Victoria University of Wellington Art Collection Gift of Mrs Henry Hall,
VUW.1990.3,William Brassington,Weeping Woman,Portrait,,,Portraits/VUW Art,308619,Portrait Collection,Art Building/Room 14,Temporary Storage,22-Jul-04,,,,,Victoria University of Wellington Art Collection,
VUW.1955.1,Nigel Brown,Coffee Mill,Portrait - Edwin Boyd-Wilson (1886-1973) was Professor of Modern Languages 1920-1954,,,VUW Art,308583,Portrait Collection,Philosophy Building/Room 31,Temporary Storage,20-Jul-10,,,,,"Victoria University of Wellington Art Collection Presented by his students in gratitude, 1955",
VUW.1968.3,John Crichton,Blond Girl,Portrait,,,Portraits/VUW Art,308584,Portrait Collection,Art Building/Room 7,Usual Location,20-Nov-03,,,,,Victoria University of Wellington Art Collection,
VUW.1966.4,John Crichton,Blank,Portrait,,,VUW Art,308585,Portrait Collection,Music Building/Room 8,Temporary Storage,22-Jul-04,,,,,Victoria University of Wellington Art Collection,
VUW.1993.6,Tao Wells,Happy Holiday,Portrait,,,Portraits/VUW Art,308620,Portrait Collection,Philosophy Building/Room 11,Temporary Storage,22-Jul-04,,,,,Victoria University of Wellington Art Collection,
VUW.1934.1,Vivian Lynn,Black on Maroon,Portrait,,,VUW Art,308586,Portrait Collection,Philosophy Building/Room 43,Temporary Storage,20-Jun-11,,,,,"Victoria University of Wellington Art Collection Presented by Past and Present Members of the College, 1934",
VUW.1934.2,Vivian Lynn,The Artist's Hand III,Portrait,,,VUW Art,308587,Portrait Collection,Music Building/Room 20,Temporary Exhibit,22-Mar-12,,,,,Victoria University of Wellington Art Collection Presented by Past and Present Members of the College,
VUW.1934.3,Vivian Lynn,$he,Portrait,,,VUW Art,308588,Portrait Collection,Music Building/Room 35,Temporary Storage,13-Jan-11,,,,,Victoria University of Wellington Art Collection Presented by Past and Present Members of the College,
VUW.1978.4,Vivian Lynn,Endless Rhythm,Portrait,,,VUW Art,308589,Portrait Collection,Philosophy Building/Room 20,Temporary Storage,16-Jul-10,,,,,Victoria University of Wellington Art Collection,
VUW.1945.1,Vivian Lynn,The Annunciation,Portrait,,,VUW Art,308590,Portrait Collection,Art Building/Room 13,Usual Location,19-Aug-04,,,,,Victoria University of Wellington Art Collection,
VUW.1949.2,Horatio Gordon Robley,Knowing,Portrait,,,VUW Art,308591,Portrait Collection,Science Building/Room 17,Usual Location,9-Apr-10,,,,,Victoria University of Wellington Art Collection,
VUW.1960.4,Horatio Gordon Robley,Tube Shelter Perspective,Portrait,,,VUW Art,308592,Portrait Collection,Music Building/Room 20,Temporary Storage,16-Jul-10,,,,,"Victoria University of Wellington Art Collection, presented by Sutcliffe Schools of Radiant Living Peloha Trust Board, 1989",
VUW.1933.1,Fatu Feu'u,Five-Man Pedersen (Prototype No.1),Portrait,,,VUW Art,308593,Portrait Collection,Philosophy Building/Room 5,Temporary Exhibit,28-Aug-14,,,,,Victoria University of Wellington Art Collection Presented by a Grateful Student,
VUW.1971.11,Tanya Ashken,Ennui,Portrait,,,VUW Art,308594,Portrait Collection,Philosophy Building/Room 31,Permanent Exhibit,25-Aug-11,,,,,Victoria University of Wellington Art Collection,
VUW.1987.6,Tanya Ashken,Abstract Painting No. 5,Portrait,,,Portraits/VUW Art,308595,Portrait Collection,Science Building/Room 8,Temporary Storage,22-Jul-04,,,,,Victoria University of Wellington Art Collection,
VUW.1975.4,Tanya Ashken,Autumn,Portrait,,"895 x 745mm (2' 11 1/4"" x 2' 5 5/16""), 1060 x 900mm",Portraits/VUW Art,308596,Portrait Collection,Philosophy Building/Room 46,Usual Location,23-Oct-07,,,,,Victoria University of Wellington Art Collection,
